time,zlev,latitude,longitude,sst,anom
UTC,m,degrees_north,degrees_east,degree_C,degree_C
2022-08-23T12:00:00Z,0.0,51.625,-129.875,15.65,1.55
2022-08-23T12:00:00Z,0.0,51.625,-129.625,15.59,1.56
2022-08-23T12:00:00Z,0.0,51.625,-129.375,15.49,1.5
2022-08-23T12:00:00Z,0.0,51.625,-129.125,15.44,1.5
2022-08-23T12:00:00Z,0.0,51.875,-132.875,16.28,1.97
2022-08-23T12:00:00Z,0.0,51.875,-132.625,16.15,1.83
2022-08-23T12:00:00Z,0.0,51.875,-132.375,16.13,1.81
2022-08-23T12:00:00Z,0.0,51.875,-132.125,16.12,1.81
2022-08-23T12:00:00Z,0.0,51.875,-131.875,16.03,1.73
2022-08-23T12:00:00Z,0.0,51.875,-131.625,15.94,1.65
2022-08-23T12:00:00Z,0.0,51.875,-131.375,15.89,1.62
2022-08-23T12:00:00Z,0.0,51.875,-131.125,15.89,1.66
2022-08-23T12:00:00Z,0.0,51.875,-130.875,15.83,1.64
2022-08-23T12:00:00Z,0.0,51.875,-130.625,15.71,1.56
2022-08-23T12:00:00Z,0.0,51.875,-130.375,15.52,1.43
2022-08-23T12:00:00Z,0.0,51.875,-130.125,15.37,1.33
2022-08-23T12:00:00Z,0.0,51.875,-129.875,15.31,1.33
2022-08-23T12:00:00Z,0.0,51.875,-129.625,15.36,1.44
2022-08-23T12:00:00Z,0.0,51.875,-129.375,15.43,1.55
2022-08-23T12:00:00Z,0.0,51.875,-129.125,15.5,1.66
2022-08-23T12:00:00Z,0.0,52.125,-132.875,16.31,2.11
2022-08-23T12:00:00Z,0.0,52.125,-132.625,16.19,1.99
2022-08-23T12:00:00Z,0.0,52.125,-132.375,16.1,1.91
2022-08-23T12:00:00Z,0.0,52.125,-132.125,16.03,1.84
2022-08-23T12:00:00Z,0.0,52.125,-131.875,15.96,1.78
2022-08-23T12:00:00Z,0.0,52.125,-131.625,15.87,1.71
2022-08-23T12:00:00Z,0.0,52.125,-131.375,15.85,1.71
2022-08-23T12:00:00Z,0.0,52.125,-131.125,15.84,1.75
2022-08-23T12:00:00Z,0.0,52.125,-130.875,15.78,1.72
2022-08-23T12:00:00Z,0.0,52.125,-130.625,15.61,1.59
2022-08-23T12:00:00Z,0.0,52.125,-130.375,15.42,1.45
2022-08-23T12:00:00Z,0.0,52.125,-130.125,15.26,1.35
2022-08-23T12:00:00Z,0.0,52.125,-129.875,15.2,1.33
2022-08-23T12:00:00Z,0.0,52.125,-129.625,15.2,1.39
2022-08-23T12:00:00Z,0.0,52.125,-129.375,15.33,1.56
2022-08-23T12:00:00Z,0.0,52.125,-129.125,15.52,1.78
2022-08-23T12:00:00Z,0.0,52.375,-132.875,16.32,2.23
2022-08-23T12:00:00Z,0.0,52.375,-132.625,16.23,2.14
2022-08-23T12:00:00Z,0.0,52.375,-132.375,16.17,2.09
2022-08-23T12:00:00Z,0.0,52.375,-132.125,16.14,2.08
2022-08-23T12:00:00Z,0.0,52.375,-131.875,16.11,2.06
2022-08-23T12:00:00Z,0.0,52.375,-131.625,15.98,1.95
2022-08-23T12:00:00Z,0.0,52.375,-131.375,16.02,2.01
2022-08-23T12:00:00Z,0.0,52.375,-131.125,15.97,2.0
2022-08-23T12:00:00Z,0.0,52.375,-130.875,15.85,1.92
2022-08-23T12:00:00Z,0.0,52.375,-130.625,15.62,1.73
2022-08-23T12:00:00Z,0.0,52.375,-130.375,15.34,1.5
2022-08-23T12:00:00Z,0.0,52.375,-130.125,15.12,1.33
2022-08-23T12:00:00Z,0.0,52.375,-129.875,15.0,1.25
2022-08-23T12:00:00Z,0.0,52.375,-129.625,14.98,1.28
2022-08-23T12:00:00Z,0.0,52.375,-129.375,15.05,1.39
2022-08-23T12:00:00Z,0.0,52.375,-129.125,15.28,1.64
2022-08-23T12:00:00Z,0.0,52.625,-132.875,16.27,2.3
2022-08-23T12:00:00Z,0.0,52.625,-132.625,16.18,2.22
2022-08-23T12:00:00Z,0.0,52.625,-132.375,16.16,2.21
2022-08-23T12:00:00Z,0.0,52.625,-132.125,16.22,2.29
2022-08-23T12:00:00Z,0.0,52.625,-131.875,16.28,2.36
2022-08-23T12:00:00Z,0.0,52.625,-131.625,NaN,NaN
2022-08-23T12:00:00Z,0.0,52.625,-131.375,16.32,2.44
2022-08-23T12:00:00Z,0.0,52.625,-131.125,16.16,2.32
